标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接
小区人车分流/采光好 /安静/公立学府四房南北通透,"锦绣学府 , 澳头",4室2厅,107.76平米,南 北,毛坯,30层 ,,板塔结合,63 万,5847 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105117932494.html
此房精装修，花园中间，高楼层，位置安静。视野好,"万科金域华庭二期 , 江北",3室1厅,79.17平米,南,精装,高楼层(共33层) ,,板塔结合,74.5 万,9411 元,2,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105118234741.html
临深锦河湾朝南三房，中间楼层，无欠款交易方便,"锦河湾 , 西区新寮",3室1厅,83.6平米,南,毛坯,33层 ,,板塔结合,48 万,5742 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105120634052.html
荷兰小城户型方正，采光佳，布局合理，宽敞明亮,"光耀荷兰小城 , 陈江",4室2厅,112平米,南,精装,28层 ,,板塔结合,73 万,6518 元,0,,,VR看装修 | 房本满两年,https://hui.lianjia.com/ershoufang/105121958747.html
"通风采光好 家旁边就是虎头山公园 ,河滩公园","碧桂园中萃公园 , 大亚湾中心区",3室2厅,136.55平米,南 北,毛坯,17层 ,,板塔结合,101 万,7397 元,3,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105105910742.html
透明收佣，不做包单+江湾一品+三房+西南朝向,"江湾一品 , 下角",3室2厅,70.97平米,西南,精装,高楼层(共29层) ,,塔楼,69.8 万,9836 元,0,,,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105119811710.html
临深大社区，朝南4房，业主诚心出售,"天域花园 , 白云新城",4室2厅,89.03平米,南,毛坯,21层 ,,板塔结合,48 万,5392 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121594639.html
区政府天虹 南北通四房 自住装修 拎包入住,"中央国墅园 , 区政府",4室2厅,128.34平米,南 北,精装,29层 ,,板塔结合,72 万,5611 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105118507564.html
秋谷林海 原价高  满五唯一无个税 四房 南北通透,"秋谷·林海 , 比亚迪商圈",4室2厅,87.19平米,南 北,精装,26层 ,,板塔结合,55 万,6309 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121959258.html
房子旁边就是天虹还有大润发楼下的商铺也全部营业,"中梁V城市 , 开城大润发",2室2厅,57平米,南,,31层 ,,板塔结合,30 万,5264 元,3,,,VR房源 | 随时看房,https://hui.lianjia.com/ershoufang/105117133859.html
龙丰城轨出口旁，金辉新苑大阳台两房,"金輝新苑 , 龙丰",2室2厅,90.63平米,东,简装,低楼层(共9层) ,,板塔结合,40 万,4414 元,0,,,VR房源 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105120919732.html
万达商圈金龟山大峡谷一期业主诚意出售,"御玺山大峡谷一期 , 比亚迪商圈",2室1厅,75平米,南,,32层 ,,板塔结合,32.5 万,4334 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121758256.html
龙光城南四期 装修三房 朝南看山景 满五唯一 配套齐全,"龙光城南四期 , 龙光城",3室2厅,89平米,东南,简装,34层 ,,板塔结合,77 万,8652 元,1,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121793746.html
小区环境好.户型方正.业主急卖.价格好谈,"丽江花园南区 , 区政府",4室1厅,158.89平米,南,简装,11层 ,,板塔结合,90 万,5665 元,0,,27天以前发布,VR房源 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122295061.html
山湖海上城3房2厅1卫 环境好 交通便利,"山湖海上城 , 惠东县城",3室2厅,92平米,南,精装,18层 ,,板塔结合,38.9 万,4229 元,0,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105121753697.html
江北东江湾精装修酒店公寓48平,"东江湾 , 江北",1室1厅,47.8平米,南,精装,高楼层(共30层) ,,板塔结合,50 万,10461 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105117675894.html
百万大盘旁，临深一线河景，业主诚心售,"锦河湾 , 西区新寮",4室1厅,98.06平米,南 北,毛坯,34层 ,,板塔结合,62 万,6323 元,0,,,VR房源 | 随时看房,https://hui.lianjia.com/ershoufang/105120482603.html
满五唯一带装修 业主诚意出售 前有公园后有广场,"御玺山大峡谷一期 , 比亚迪商圈",3室1厅,77.01平米,东,,32层 ,,板塔结合,40 万,5195 元,0,,22天以前发布,VR看装修,https://hui.lianjia.com/ershoufang/105122338066.html
住在公园里的房子，享受真正的大草原，湖泊。,"恒大棕榈岛 , 白云新城",4室2厅,126.81平米,南 北,毛坯,25层 ,,板楼,78 万,6151 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105119953175.html
采光佳 视野好 户型方正 配套齐 交通便利,"正闳润金名苑 , 西区新寮",3室1厅,91.25平米,东南,精装,33层 ,,塔楼,76 万,8329 元,1,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105118509040.html
南向品字型4房中间好楼层看园景视野开阔满五年,"方直君御 , 东江新城",4室2厅,125平米,南,毛坯,中楼层(共31层) ,,塔楼,184 万,14720 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121711471.html
央企华润 品牌开发商，中间楼层采光视野好,"曦江润府 , 东江新城",3室2厅,96.72平米,南,毛坯,中楼层(共33层) ,,塔楼,99 万,10236 元,3,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105118533010.html
中间楼层，已经交了电梯钱，户型方正采光好，2个卫生,"金阁苑 , 下角",3室2厅,102平米,南,精装,中楼层(共7层) ,,板塔结合,65 万,6373 元,0,,,VR看装修 | 房本满五年,https://hui.lianjia.com/ershoufang/105121519511.html
吾悦广场旁 3加1 朝南 看淡澳河,"亲水湾 , 吾悦广场",3室2厅,87.06平米,南,毛坯,22层 ,,塔楼,45 万,5169 元,2,,,VR房源 | 随时看房,https://hui.lianjia.com/ershoufang/105117987188.html
梵高的花园精装2房，南向看花园，现代风,"梵高的花园 , 江北",3室1厅,85.14平米,南,,高楼层(共31层) ,,板塔结合,88 万,10336 元,0,,,VR房源 | 房本满五年,https://hui.lianjia.com/ershoufang/105121725390.html
区政府旁，万科物业，一房拎包入住。,"清泉城市广场 , 区政府",1室0厅,34.76平米,东南,,27层 ,,板塔结合,18 万,5179 元,1,,,VR看装修 | 房本满五年,https://hui.lianjia.com/ershoufang/105118726956.html
富康锦绣壹号3房 红本在手 看房方便有钥匙 业主诚卖,"富康锦绣壹号 , 西区新寮",3室2厅,85.13平米,南,精装,33层 ,,塔楼,80 万,9398 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105121223875.html
业主着急出售价格可谈 全新装修未住过，户型方正,"荣盛御景澜湾 , 澳头",3室2厅,90.19平米,东南,,33层 ,,板塔结合,45 万,4990 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105122173913.html
7区次新小区，中间楼层视野漂亮，3房2个卫生间,"壹城中心7区 , 陈江",3室2厅,98.49平米,南,毛坯,中楼层(共32层) ,,塔楼,72 万,7311 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://hui.lianjia.com/ershoufang/105119494850.html
难得漂亮户型！！三房南北通双阳台 视野开阔 优选楼层,"金辉风雅轩 , 秋长",3室2厅,85.12平米,南 北,毛坯,32层 ,,板塔结合,41.88 万,4921 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://hui.lianjia.com/ershoufang/105120425427.html
南站规划高铁新城区中位，交通便利，社区生活配套齐全,"中信新城 , 南站新城",4室2厅,104.65平米,东南,精装,34层 ,,板塔结合,78 万,7454 元,0,,,VR看装修 | 房本满五年,https://hui.lianjia.com/ershoufang/105121304473.html
雅颂居一房一厅41平米业主诚心比较急出售,"雅颂居 , 大亚湾中心区",1室1厅,41平米,北,毛坯,25层 ,,塔楼,16 万,3903 元,3,,,VR看装修 | 随时看房,https://hui.lianjia.com/ershoufang/105113480977.html
碧桂园山河城 6室2厅 南 北,"碧桂园山河城 , 三和经济开发区",6室2厅,191.12平米,南 北,精装,18层 ,,板塔结合,85 万,4448 元,3,,11天以前发布,VR房源 | 房本满两年,https://hui.lianjia.com/ershoufang/105122443597.html
