标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接
封闭式管理、户型正朝向好！诚意出售,"晓翠园 , 东莞行政中心区",4室2厅,117.95平米,东南,精装,高楼层(共8层) ,,板塔结合,120 万,10174 元,0,,,VR房源 | 房本满五年,https://dg.lianjia.com/ershoufang/105117495578.html
清新精致充满艺术气息实用率高二房，广阔市府广场景观,"尚书银座 , 东莞图书馆",2室1厅,42.98平米,西 西北,精装,中楼层(共23层) ,,塔楼,94 万,21871 元,0,,29天以前发布,近地铁 | VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122275691.html
金湾工贸大楼 全新三房两厅 业主诚心出售,"工贸大楼 , 太平广场",2室2厅,87.68平米,南,毛坯,高楼层(共9层) ,,板楼,60 万,6844 元,2,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105114838160.html
网红小区，视野宽阔，设施配套齐全，交通出行方便,"碧桂园苹果 , 上下桥",3室2厅,130.53平米,南 北,精装,高楼层(共26层) ,,塔楼,103 万,7891 元,1,,,房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105121373404.html
R1线地铁口 南北对流四房二厅 业主自住诚意出售,"理想0769 , 客运总站",4室2厅,142平米,南,精装,中楼层(共11层) ,,板楼,258 万,18170 元,1,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105114047473.html
碧琴湾花园地铁口旁边中高楼层视野采光好,"钜隆碧琴湾 , 道滘镇",4室2厅,112.02平米,南,毛坯,20层 ,,板楼,145 万,12945 元,0,,18天以前发布,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122374853.html
万达广场  三房  300万  高层  随时可看,"万达公馆 , 宵边",3室2厅,91.11平米,北,精装,29层 ,,板塔结合,170 万,18659 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105114320362.html
祥利花园 3室2厅 南,"祥利花园 , 凤岗镇",3室2厅,88.38平米,南,精装,25层 ,,板塔结合,129 万,14597 元,0,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105119687769.html
此房全南朝向，全新精装2房，中楼层 安静,"景泰花园 , 凤岗镇",3室1厅,97.05平米,东南,精装,11层 ,,板塔结合,105 万,10820 元,0,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105119722882.html
霞晖花园高层电梯二房仅售37万 业主诚心出售,"霞晖花园 , 常平镇",2室2厅,77.88平米,南,简装,11层 ,,板塔结合,37 万,4751 元,0,,,VR房源 | 房本满两年,https://dg.lianjia.com/ershoufang/105112699308.html
御城花园 次新房 横厅大3房 业主计划1个月内售卖,"御城花园 , 塘厦镇",3室2厅,107平米,南,毛坯,31层 ,,板塔结合,149 万,13926 元,0,,15天以前发布,VR房源 | 随时看房,https://dg.lianjia.com/ershoufang/105122406540.html
塘盛大厦 3房2卫 满五年 红本在手 配套成熟 出行便利,"塘盛大厦 , 塘厦镇",3室2厅,112.54平米,北,简装,6层 ,,塔楼,75 万,6665 元,1,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105121486221.html
毛坯可自由装修 中间楼层南北对流 户型好业主诚心卖,"圣河西E号 , 白马",3室2厅,89.64平米,南 北,毛坯,中楼层(共22层) ,,塔楼,185 万,20639 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120695259.html
颐龙湾四期，双阳台户型，南北对流三房两卫，采光好！,"新世纪颐龙湾 , 高埗镇",3室2厅,102.98平米,北,,高楼层(共17层) ,,板塔结合,142 万,13790 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121191640.html
翡翠山湖大社区大花园大三房二厅诚心出售128万,"翡翠山湖 , 凤岗镇",3室2厅,120.82平米,东,简装,11层 ,,塔楼,120 万,9933 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121145941.html
碧桂园 朝南 自住4房 满五 唯一,"沙田碧桂园滨江豪园 , 沙田镇",4室2厅,114平米,南,精装,29层 ,,塔楼,158 万,13860 元,0,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105121606426.html
单边位 大两房 南北对流  宜居家,"佳兆业中央豪门 , 石龙镇",2室2厅,88.3平米,东 南,精装,中楼层(共31层) ,,板塔结合,92 万,10420 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105122039628.html
