标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接
新天美地，精装三房，正望泳池，附带花园，少有放盘,"新天美地花园 , 常平镇",3室2厅,107.48平米,北,精装,中楼层(共21层) ,,板塔结合,90 万,8374 元,0,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105116346968.html
皇马大四房，带入户花园，南向看小区园林，业主诚售,"万科皇马郦宫 , 火炼树",4室2厅,189.69平米,南,毛坯,中楼层(共26层) ,,塔楼,488 万,25727 元,6,,,VR房源 | 随时看房,https://dg.lianjia.com/ershoufang/105116326902.html
业主诚心出售 小区配套完善，林园绿化好,"大运城邦悦城 , 凤岗镇",4室2厅,124.21平米,南,精装,21层 ,,板塔结合,260 万,20933 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120846525.html
看中价格可以谈 横沥碧桂园中高层的电梯3房 出售,"横沥碧桂园 , 横沥镇",3室2厅,91.75平米,东南,简装,19层 ,,板塔结合,110 万,11990 元,3,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120252501.html
此房业主诚心出售，价格好聊，上车易，一步到位,"周屋围街 , 运河东",3室1厅,82平米,南,精装,8层 ,,,35.8 万,4366 元,6,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105118810007.html
家汇生活广场 1室1厅 南,"家汇生活广场 , 客运总站",1室1厅,47.01平米,南,精装,30层 ,,板塔结合,26 万,5531 元,0,,7天以前发布,房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105122490306.html
家和时代次新楼 星河城万达商圈 中高楼层98.8平精装修,"家和时代 , 寮步",3室2厅,98.81平米,东南,,中楼层(共28层) ,,板塔结合,189 万,19128 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120853503.html
塘厦御城花园 高层毛坯 三房 诚售,"御城花园 , 塘厦镇",3室2厅,96.78平米,南,毛坯,31层 ,,板塔结合,137 万,14156 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105118810720.html
房子在花园街广场旁边，地理优越，楼下就可以购物,"花园中心 , 塘厦镇",2室2厅,79平米,东 北,简装,高楼层(共23层) ,,塔楼,58 万,7342 元,0,,23天以前发布,VR房源 | 随时看房,https://dg.lianjia.com/ershoufang/105122330857.html
业主低价出售电梯高层方正三房满五唯一带大平台100平,"丽景花园 , 常平镇",3室2厅,91.5平米,西北,精装,高楼层(共12层) ,,塔楼,60 万,6558 元,3,,,VR房源 | 房本满五年,https://dg.lianjia.com/ershoufang/105121209930.html
虎门印象 2室2厅 东南,"虎门印象 , 万达",2室2厅,77.27平米,东南,精装,中楼层(共31层) ,,塔楼,106.8 万,13822 元,0,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120290914.html
地铁口物业 新丰大厦 业主诚心出售,"新丰大厦 , 太平广场",3室2厅,100.89平米,南,精装,9层 ,,塔楼,62 万,6146 元,0,,,VR房源 | 房本满五年,https://dg.lianjia.com/ershoufang/105121906222.html
黄河时装城旁边大小区 配套齐 交通便利,"永业楼 , 黄河中心",3室2厅,92.61平米,南 北,简装,中楼层(共8层) ,,板塔结合,48.8 万,5270 元,1,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105118255177.html
锦绣花园167房四房两两卫金装,"锦绣城市花园 , 塘厦镇",4室2厅,167.68平米,南,简装,11层 ,,板塔结合,260 万,15506 元,1,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105118429958.html
三正半山豪苑棕榈园 118平三房两厅两卫 高楼层出售,"三正半山豪苑棕榈园 , 塘厦镇",3室2厅,118.67平米,北,简装,高楼层(共10层) ,,塔楼,156 万,13146 元,0,,,VR看装修,https://dg.lianjia.com/ershoufang/105122166718.html
临深， 满五唯一，地铁口800米，精装修,"大运城邦曦城 , 凤岗镇",3室2厅,92.22平米,北,,30层 ,,塔楼,155 万,16808 元,7,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105120955239.html
天虹地铁口精装2房，满五唯一，高楼层 看房方便,"地标大厦 , 地标",2室1厅,87.61平米,南,精装,高楼层(共25层) ,,塔楼,116 万,13241 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105114956169.html
长安城市花园精装3房，业主急售！,"长安城市花园 , 增田",3室2厅,123.93平米,南,简装,中楼层(共16层) ,,,170 万,13718 元,2,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105111132071.html
新世纪星城 3房 高层南向 通风采光好,"新世纪星城(一二)期 , 温塘",3室2厅,102.01平米,南,,高楼层(共17层) ,,板塔结合,186 万,18234 元,0,,,VR房源 | 随时看房,https://dg.lianjia.com/ershoufang/105121828330.html
碧琴湾花园地铁口旁边中高楼层视野采光好,"钜隆碧琴湾 , 道滘镇",4室2厅,112.02平米,南,毛坯,20层 ,,板楼,145 万,12945 元,0,,18天以前发布,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122374853.html
