标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接
碧琴湾花园地铁口旁边中高楼层视野采光好,"钜隆碧琴湾 , 道滘镇",4室2厅,112.02平米,南,毛坯,20层 ,,板楼,145 万,12945 元,0,,18天以前发布,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122374853.html
霞晖花园高层电梯二房仅售37万 业主诚心出售,"霞晖花园 , 常平镇",2室2厅,77.88平米,南,简装,11层 ,,板塔结合,37 万,4751 元,0,,,VR房源 | 房本满两年,https://dg.lianjia.com/ershoufang/105112699308.html
御城花园 次新房 横厅大3房 业主计划1个月内售卖,"御城花园 , 塘厦镇",3室2厅,107平米,南,毛坯,31层 ,,板塔结合,149 万,13926 元,0,,15天以前发布,VR房源 | 随时看房,https://dg.lianjia.com/ershoufang/105122406540.html
翡翠山湖大社区大花园大三房二厅诚心出售128万,"翡翠山湖 , 凤岗镇",3室2厅,120.82平米,东,简装,11层 ,,塔楼,120 万,9933 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121145941.html
碧桂园 朝南 自住4房 满五 唯一,"沙田碧桂园滨江豪园 , 沙田镇",4室2厅,114平米,南,精装,29层 ,,塔楼,158 万,13860 元,0,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105121606426.html
单边位 大两房 南北对流  宜居家,"佳兆业中央豪门 , 石龙镇",2室2厅,88.3平米,东 南,精装,中楼层(共31层) ,,板塔结合,92 万,10420 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105122039628.html
时代荟江景三房  家私电器齐全 拎包入住,"时代荟 , 茶山镇",3室2厅,101.79平米,南,精装,低楼层(共32层) ,,塔楼,138 万,13558 元,0,,16天以前发布,VR房源 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105122401675.html
华润公元九里高品质小区，业主诚心出售,"华润公元九里 , 企石镇",3室2厅,96.35平米,南,简装,中楼层(共29层) ,,塔楼,130 万,13493 元,1,,,VR看装修 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105118316806.html
大社区 商圈配套成熟 中高楼层3房 户型方正,"佳兆业中央豪门御府 , 石龙镇",3室1厅,88.17平米,东南,简装,高楼层(共32层) ,,板塔结合,98 万,11115 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105119141953.html
诚心急售 高楼层视野开阔 采光通透 随时看房不拖沓,"鸿荣源熙园山院 , 凤岗镇",3室2厅,93.62平米,南,毛坯,25层 ,,板塔结合,153 万,16343 元,1,,,VR看装修 | 随时看房,https://dg.lianjia.com/ershoufang/105122214809.html
国际公馆91平精致小三房拎包入住,"石排世纪城国际公馆 , 石排镇",3室2厅,91.35平米,北,精装,中楼层(共15层) ,,塔楼,100 万,10947 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105118346798.html
东莞大岭山新世纪领居，优质房源，不容错过,"新世纪领居B区 , 大岭山镇",5室2厅,193.75平米,东南,,低楼层(共18层) ,,板塔结合,288 万,14865 元,0,,,VR房源 | 房本满五年,https://dg.lianjia.com/ershoufang/105122146357.html
虎门印象毛坯大三房 中间楼层  南北朝向 看房随时方便,"虎门印象 , 万达",3室2厅,114.77平米,南 北,,中楼层(共30层) ,,板塔结合,176 万,15336 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105119770034.html
宝翠花園 1室1厅 西南,"宝翠花園 , 横沥镇",1室1厅,53.89平米,西南,精装,中楼层(共4层) ,,板楼,32 万,5939 元,0,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105120906757.html
翡翠东望新出高层东南向四房 保养好 方便看房,"万科首铸翡翠东望 , 鸿福路口",3室2厅,93.03平米,东南,精装,高楼层(共31层) ,,塔楼,249 万,26766 元,0,,,VR房源 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105121696125.html
香港街三房 装修新 面向小区花园 景观好 看房方便,"香港街 , 八达路",3室2厅,110.03平米,西北,精装,17层 ,,板塔结合,198 万,17996 元,0,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122172940.html
碧桂园时代城大2房，重新装修户型方正，业主诚心出售,"碧桂园时代城 , 塘厦镇",2室2厅,83.31平米,南,精装,25层 ,,板塔结合,80 万,9603 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121608463.html
盛世华庭 2室1厅 西南,"盛世华庭 , 横沥镇",2室1厅,76.4平米,西南,,中楼层(共9层) ,,板塔结合,56 万,7330 元,1,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122056940.html
城区 繁华地段 优选小户型 轻松置业无压力,"富洋楼 , 花园新村",1室1厅,42.41平米,东北,简装,8层 ,,板塔结合,18 万,4245 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121649776.html
长安花园精装两房，朝南视野好，业主诚心出售,"长安花园 , 长安新区",2室1厅,78.26平米,南,精装,11层 ,,塔楼,120 万,15334 元,2,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121414883.html
沿江高速口南栅富民花园96平方三房带天台花园诚心出售,"富民花园 , 太平广场",3室2厅,96平米,北,简装,高楼层(共7层) ,,板塔结合,61 万,6355 元,10,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105110581030.html
业主诚心急卖，租客稳定在住，可住可租,"光大景湖春晓 , 西平",1室0厅,27.35平米,北,精装,11层 ,,板楼,33 万,12066 元,4,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105110998460.html
蔚蓝星湖大社区 户型方正 直通地下车库 采光好,"蔚蓝星湖 , 上下桥",3室1厅,110.48平米,北,简装,中楼层(共11层) ,,塔楼,135 万,12220 元,0,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121091144.html
虎门万达商圈地铁口精装三房 2015年小区精装修出售,"虎门客天下 , 万达",3室2厅,92平米,南,,中楼层(共27层) ,,板楼,133 万,14457 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105114896009.html
天虹商圈，精装三房出售，满五唯一省个税业主诚意出售,"地标大厦 , 地标",3室2厅,87.31平米,南 北,精装,低楼层(共25层) ,,塔楼,110 万,12599 元,12,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105117308429.html
位置好！生活配套齐全，交通方便。,"万荟时代 , 大朗镇",2室2厅,84.96平米,东南,,低楼层(共24层) ,,塔楼,95 万,11182 元,1,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105121754511.html
正丰精装大三房低价出售，业主诚意出售,"正丰豪苑 , 桥头镇",3室2厅,106.95平米,东 东南,简装,6层 ,,板塔结合,70 万,6546 元,0,,8天以前发布,VR房源 | 房本满五年,https://dg.lianjia.com/ershoufang/105122490097.html
沙田庄士8号 双阳台 大3房 装修很好 保养很新,"沙田碧桂园滨江豪园 , 沙田镇",3室1厅,118.77平米,南,精装,27层 ,,塔楼,126 万,10609 元,2,,,VR看装修 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105117427533.html
欧景城 精装三房 南北对流 满5唯一 拎包可入住,"深业欧景城 , 宏远北",3室1厅,95.9平米,南,精装,高楼层(共14层) ,,板塔结合,142 万,14808 元,0,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120430907.html
山景房，南。北对流，带精装，高楼层视野开阔,"名流印象花园二期 , 凤岗镇",3室2厅,88平米,东南,精装,33层 ,,板塔结合,140 万,15910 元,1,,,VR看装修 | 随时看房,https://dg.lianjia.com/ershoufang/105118580627.html
诚心急售 高楼层视野开阔 采光通透 随时看房不拖沓,"鸿荣源熙园山院 , 凤岗镇",3室2厅,93.62平米,南,毛坯,25层 ,,板塔结合,153 万,16343 元,1,,,VR看装修 | 随时看房,https://dg.lianjia.com/ershoufang/105122214809.html
单边位 大两房 南北对流  宜居家,"佳兆业中央豪门 , 石龙镇",2室2厅,88.3平米,东 南,精装,中楼层(共31层) ,,板塔结合,92 万,10420 元,0,,,VR看装修 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105122039628.html
碧桂园 朝南 自住4房 满五 唯一,"沙田碧桂园滨江豪园 , 沙田镇",4室2厅,114平米,南,精装,29层 ,,塔楼,158 万,13860 元,0,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105121606426.html
宝翠花園 1室1厅 西南,"宝翠花園 , 横沥镇",1室1厅,53.89平米,西南,精装,中楼层(共4层) ,,板楼,32 万,5939 元,0,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105120906757.html
天虹商圈，精装三房出售，满五唯一省个税业主诚意出售,"地标大厦 , 地标",3室2厅,87.31平米,南 北,精装,低楼层(共25层) ,,塔楼,110 万,12599 元,12,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105117308429.html
盛世华庭 2室1厅 西南,"盛世华庭 , 横沥镇",2室1厅,76.4平米,西南,,中楼层(共9层) ,,板塔结合,56 万,7330 元,1,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122056940.html
