标题,地址,户型,面积,朝向,装修情况,层数,建造时间,楼型,总价,每平米单价,关注人数,带看次数,发布时间,标签,详情链接
业主诚心出售 小区配套完善，林园绿化好,"大运城邦悦城 , 凤岗镇",4室2厅,124.21平米,南,精装,21层 ,,板塔结合,260 万,20933 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120846525.html
家汇生活广场 1室1厅 南,"家汇生活广场 , 客运总站",1室1厅,47.01平米,南,精装,30层 ,,板塔结合,26 万,5531 元,0,,8天以前发布,房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105122490306.html
房子在花园街广场旁边，地理优越，楼下就可以购物,"花园中心 , 塘厦镇",2室2厅,79平米,东 北,简装,高楼层(共23层) ,,塔楼,58 万,7342 元,0,,24天以前发布,VR房源 | 随时看房,https://dg.lianjia.com/ershoufang/105122330857.html
业主低价出售电梯高层方正三房满五唯一带大平台100平,"丽景花园 , 常平镇",3室2厅,91.5平米,西北,精装,高楼层(共12层) ,,塔楼,60 万,6558 元,3,,,VR房源 | 房本满五年,https://dg.lianjia.com/ershoufang/105121209930.html
虎门印象 2室2厅 东南,"虎门印象 , 万达",2室2厅,77.27平米,东南,精装,中楼层(共31层) ,,塔楼,106.8 万,13822 元,0,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120290914.html
地铁口物业 新丰大厦 业主诚心出售,"新丰大厦 , 太平广场",3室2厅,100.89平米,南,精装,9层 ,,塔楼,62 万,6146 元,0,,,VR房源 | 房本满五年,https://dg.lianjia.com/ershoufang/105121906222.html
黄河时装城旁边大小区 配套齐 交通便利,"永业楼 , 黄河中心",3室2厅,92.61平米,南 北,简装,中楼层(共8层) ,,板塔结合,48.8 万,5270 元,1,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105118255177.html
三正半山豪苑棕榈园 118平三房两厅两卫 高楼层出售,"三正半山豪苑棕榈园 , 塘厦镇",3室2厅,118.67平米,北,简装,高楼层(共10层) ,,塔楼,156 万,13146 元,0,,,VR看装修,https://dg.lianjia.com/ershoufang/105122166718.html
临深， 满五唯一，地铁口800米，精装修,"大运城邦曦城 , 凤岗镇",3室2厅,92.22平米,北,,30层 ,,塔楼,155 万,16808 元,7,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105120955239.html
天虹地铁口精装2房，满五唯一，高楼层 看房方便,"地标大厦 , 地标",2室1厅,87.61平米,南,精装,高楼层(共25层) ,,塔楼,116 万,13241 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105114956169.html
长安城市花园精装3房，业主急售！,"长安城市花园 , 增田",3室2厅,123.93平米,南,简装,中楼层(共16层) ,,,170 万,13718 元,2,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105111132071.html
新世纪星城 3房 高层南向 通风采光好,"新世纪星城(一二)期 , 温塘",3室2厅,102.01平米,南,,高楼层(共17层) ,,板塔结合,186 万,18234 元,0,,,VR房源 | 随时看房,https://dg.lianjia.com/ershoufang/105121828330.html
碧琴湾花园地铁口旁边中高楼层视野采光好,"钜隆碧琴湾 , 道滘镇",4室2厅,112.02平米,南,毛坯,20层 ,,板楼,145 万,12945 元,0,,19天以前发布,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105122374853.html
御城花园 次新房 横厅大3房 业主计划1个月内售卖,"御城花园 , 塘厦镇",3室2厅,107平米,南,毛坯,31层 ,,板塔结合,149 万,13926 元,0,,16天以前发布,VR房源 | 随时看房,https://dg.lianjia.com/ershoufang/105122406540.html
融创清溪壹号 精装一房一厅 急售,"融创清溪壹号 , 清溪镇",1室1厅,41平米,东南 东 南,精装,高楼层(共20层) ,,板塔结合,31 万,7561 元,1,,,房本满五年,https://dg.lianjia.com/ershoufang/105119842117.html
霞晖花园高层电梯二房仅售37万 业主诚心出售,"霞晖花园 , 常平镇",2室2厅,77.88平米,南,简装,11层 ,,板塔结合,37 万,4751 元,0,,,VR房源 | 房本满两年,https://dg.lianjia.com/ershoufang/105112699308.html
山景房，南。北对流，带精装，高楼层视野开阔,"名流印象花园二期 , 凤岗镇",3室2厅,88平米,东南,精装,33层 ,,板塔结合,140 万,15910 元,1,,,VR看装修 | 随时看房,https://dg.lianjia.com/ershoufang/105118580627.html
欧景城 精装三房 南北对流 满5唯一 拎包可入住,"深业欧景城 , 宏远北",3室1厅,95.9平米,南,精装,高楼层(共14层) ,,板塔结合,142 万,14808 元,0,,,VR房源 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105120430907.html
虎门天虹楼上朝南三房两卫出售小区大环境好商配集中,"地标广场 , 地标",3室2厅,106.84平米,南,精装,28层 ,,板塔结合,225 万,21060 元,0,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105121692204.html
此房位于花园中间位，高层朝南 满五唯一 通风采光良好,"光大景湖春晓 , 西平",3室2厅,102.6平米,南,精装,18层 ,,板楼,215 万,20956 元,3,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105112305061.html
此房是满五唯一，房子是精装房，，户型方正，视野开阔,"金地城南艺境 , 道滘镇",3室2厅,97.02平米,南,精装,33层 ,,塔楼,118 万,12163 元,6,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105118622062.html
随时看房满五唯一；拎包入住很新；业主诚意出售,"万科金色悦府 , 宵边",3室2厅,97.61平米,南,精装,25层 ,,板塔结合,246 万,25203 元,0,,,VR看装修 | 房本满五年,https://dg.lianjia.com/ershoufang/105120883823.html
国际公馆91平精致小三房拎包入住,"石排世纪城国际公馆 , 石排镇",3室2厅,91.35平米,北,精装,中楼层(共15层) ,,塔楼,100 万,10947 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105118346798.html
时代荟江景三房  家私电器齐全 拎包入住,"时代荟 , 茶山镇",3室2厅,101.79平米,南,精装,低楼层(共32层) ,,塔楼,138 万,13558 元,0,,16天以前发布,VR房源 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105122401675.html
大社区 商圈配套成熟 中高楼层3房 户型方正,"佳兆业中央豪门御府 , 石龙镇",3室1厅,88.17平米,东南,简装,高楼层(共32层) ,,板塔结合,98 万,11115 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105119141953.html
东莞大岭山新世纪领居，优质房源，不容错过,"新世纪领居B区 , 大岭山镇",5室2厅,193.75平米,东南,,低楼层(共18层) ,,板塔结合,288 万,14865 元,0,,,VR房源 | 房本满五年,https://dg.lianjia.com/ershoufang/105122146357.html
翡翠山湖大社区大花园大三房二厅诚心出售128万,"翡翠山湖 , 凤岗镇",3室2厅,120.82平米,东,简装,11层 ,,塔楼,120 万,9933 元,2,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121145941.html
虎门印象毛坯大三房 中间楼层  南北朝向 看房随时方便,"虎门印象 , 万达",3室2厅,114.77平米,南 北,,中楼层(共30层) ,,板塔结合,176 万,15336 元,0,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105119770034.html
翡翠东望新出高层东南向四房 保养好 方便看房,"万科首铸翡翠东望 , 鸿福路口",3室2厅,93.03平米,东南,精装,高楼层(共31层) ,,塔楼,249 万,26766 元,0,,,VR房源 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105121696125.html
华润公元九里高品质小区，业主诚心出售,"华润公元九里 , 企石镇",3室2厅,96.35平米,南,简装,中楼层(共29层) ,,塔楼,130 万,13493 元,1,,,VR看装修 | 房本满两年 | 随时看房,https://dg.lianjia.com/ershoufang/105118316806.html
高层 精装两房 省个税 诚意出售,"世纪城国际公馆四期香榭里 , 西平",3室2厅,89.63平米,东南,精装,中楼层(共18层) ,,板塔结合,190 万,21199 元,1,,,VR看装修 | 房本满五年 | 随时看房,https://dg.lianjia.com/ershoufang/105121580531.html
